N,P,K,ph,rainfall,crop
90,42,43,6.4,120,wheat
80,40,40,5.6,200,rice
100,50,50,7.8,90,maize
65,35,40,6.1,160,rice
55,28,30,6.8,95,wheat
70,32,28,6.5,110,maize
50,22,25,5.8,180,rice
85,40,55,7.2,70,wheat
60,30,35,6.0,140,rice
95,45,60,7.5,85,maize
40,18,20,6.6,60,gram
72,34,30,6.3,120,soybean
58,26,24,6.7,90,groundnut
88,42,50,7.0,75,mustard
92,46,48,6.2,170,sugarcane
76,36,44,6.9,65,barley
68,30,38,6.4,130,bajra
82,38,46,6.6,115,jowar
78,28,52,5.5,210,jute
64,24,32,6.1,150,cotton
96,50,70,6.8,190,banana
62,22,28,6.0,100,sunflower
74,40,58,5.7,220,rice
52,20,26,6.5,80,potato
86,44,62,6.3,170,soybean
48,18,22,6.9,55,gram
66,26,30,6.7,90,groundnut
84,36,48,7.1,70,mustard
98,52,68,6.0,160,sugarcane
72,32,42,6.8,60,barley
60,28,36,6.3,120,bajra
80,34,46,6.5,110,jowar
76,26,54,5.8,200,jute
64,22,34,6.2,140,cotton
94,48,72,6.6,180,banana
58,20,30,6.4,95,sunflower
88,42,60,5.9,210,rice
54,22,24,6.8,85,potato
90,40,58,6.2,165,soybean
46,16,20,6.7,50,gram
